nces_id,district_name,city,state,region,high_need,rural,school_with_children_on_indian_land,bureau_funded_schools
2700255,BIRCH GROVE COMMUNITY SCHOOL,TOFTE,MN ,5,Not in SIAPE,Yes,No,No
2705660,BIRD ISLAND-OLIVIA-LAKE LILLIAN,OLIVIA,MN ,5,No,Yes,No,No
2705730,BLACKDUCK PUBLIC SCHOOL DISTRICT,BLACKDUCK,MN ,5,No,Yes,No,No
2705760,BLOOMING PRAIRIE PUBLIC SCHOOL DIST,BLOOMING PRAIRIE,MN ,5,No,Yes,No,No
2707110,Browns Valley Public School Dist,BROWNS VALLEY,MN ,5,Yes,Yes,No,No
2700023,BUFFALO LK-HECTOR-STEWART PUBLIC SC,HECTOR,MN ,5,No,Yes,No,No
2707450,Campbell-Tintah Public Schools,CAMPBELL,MN ,5,No,Yes,No,No
2707470,CANBY PUBLIC SCHOOL DISTRICT,CANBY,MN ,5,No,Yes,No,No
2707590,CARLTON PUBLIC SCHOOL DISTRICT,CARLTON,MN ,5,No,No,Yes,No
2708070,CASS LAKE-BENA PUBLIC SCHOOLS,CASS LAKE,MN ,5,Yes,Yes,Yes,No
2700110,CEDAR MOUNTAIN SCHOOL DISTRICT,MORGAN,MN ,5,No,Yes,Yes,No
2708940,Chokio-Alberta Public Schools,CHOKIO,MN ,5,No,Yes,No,No
2700290,CLARKFIELD CHARTER SCHOOL,CLARKFIELD,MN ,5,Not in SIAPE,Yes,No,No
2700103,CLEARBROOK-GONVICK SCHOOL DISTRICT,CLEARBROOK,MN ,5,No,Yes,Yes,No
2709360,CLIMAX-SHELLY PUBLIC SCHOOLS,CLIMAX,MN ,5,Yes,No,No,No
2700150,CLINTON-GRACEVILLE-BEARDSLEY,CLINTON,MN ,5,No,Yes,No,No
2709420,CLOQUET PUBLIC SCHOOL DISTRICT,CLOQUET,MN ,5,No,No,Yes,No
2709540,COMFREY PUBLIC SCHOOL DISTRICT,COMFREY,MN ,5,No,Yes,No,No
2713110,COOK COUNTY PUBLIC SCHOOLS,GRAND MARAIS,MN ,5,No,Yes,Yes,No
2709690,CROMWELL-WRIGHT PUBLIC SCHOOLS,CROMWELL,MN ,5,No,Yes,No,No
2700218,CROSSLAKE COMMUNITY CHARTER SCHOOL,CROSSLAKE,MN ,5,Not in SIAPE,Yes,No,No
2710090,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,DAWSON,MN ,5,No,Yes,No,No
2710140,DEER RIVER PUBLIC SCHOOL DISTRICT,DEER RIVER,MN ,5,No,No,Yes,No
2700139,E.C.H.O. CHARTER SCHOOL,ECHO,MN ,5,Not in SIAPE,Yes,No,No
2711085,EAST CENTRAL SCHOOL DISTRICT,FINLAYSON,MN ,5,No,Yes,Yes,No
2711220,EDGERTON PUBLIC SCHOOL DISTRICT,EDGERTON,MN ,5,No,Yes,No,No
2711460,ELLSWORTH PUBLIC SCHOOL DISTRICT,ELLSWORTH,MN ,5,No,Yes,No,No
2700484,Endazhi-Nitaawiging,RED LAKE,MN ,5,Not in SIAPE,Yes,No,No
2711910,FERTILE-BELTRAMI SCHOOL DISTRICT,FERTILE,MN ,5,No,Yes,No,No
2712210,FLOODWOOD PUBLIC SCHOOL DISTRICT,FLOODWOOD,MN ,5,No,Yes,No,No
2712300,FOSSTON PUBLIC SCHOOL DISTRICT,FOSSTON,MN ,5,No,Yes,No,No
2712480,FULDA PUBLIC SCHOOL DISTRICT,FULDA,MN ,5,No,Yes,No,No
2712580,GFW Public Schools,GIBBON,MN ,5,No,Yes,No,No
2700293,GLACIAL HILLS ELEMENTARY,STARBUCK,MN ,5,Not in SIAPE,Yes,No,No
2713020,GOODRIDGE PUBLIC SCHOOL DISTRICT,GOODRIDGE,MN ,5,No,Yes,No,No
2700339,GREAT EXPECTATIONS,GRAND MARAIS,MN ,5,Not in SIAPE,Yes,No,No
2700107,GREENBUSH-MIDDLE RIVER SCHOOL DIST.,GREENBUSH,MN ,5,No,Yes,No,No
2718920,GRYGLA PUBLIC SCHOOL DISTRICT,GRYGLA,MN ,5,No,Yes,No,No
2713680,HENDRICKS PUBLIC SCHOOL DISTRICT,HENDRICKS,MN ,5,No,Yes,No,No
2713860,HENNING PUBLIC SCHOOL DISTRICT,HENNING,MN ,5,No,Yes,No,No
2713890,HERMAN-NORCROSS SCHOOL DISTRICT,HERMAN,MN ,5,No,Yes,No,No
2713930,HERON LAKE-OKABENA SCHOOL DISTRICT,OKABENA,MN ,5,No,Yes,No,No
2714010,HILL CITY PUBLIC SCHOOL DISTRICT,HILL CITY,MN ,5,No,Yes,No,No
2714070,HINCKLEY-FINLAYSON SCHOOL DISTRICT,HINCKLEY,MN ,5,No,Yes,Yes,No
2715510,ISLE PUBLIC SCHOOL DISTRICT,ISLE,MN ,5,No,Yes,Yes,No
2715540,IVANHOE PUBLIC SCHOOL DISTRICT,IVANHOE,MN ,5,No,Yes,No,No
2717010,KELLIHER PUBLIC SCHOOL DISTRICT,KELLIHER,MN ,5,No,Yes,Yes,No
2717120,KERKHOVEN-MURDOCK-SUNBURG,KERKHOVEN,MN ,5,No,Yes,No,No
2791447,KITTSON CENTRAL SCHOOL DISTRICT,HALLOCK,MN ,5,No,Yes,No,No
2700125,Lac qui Parle Valley Schools,MADISON,MN ,5,No,Yes,No,No
2717460,LAKE BENTON PUBLIC SCHOOL DISTRICT,LAKE BENTON,MN ,5,No,Yes,No,No
2717570,LAKE OF THE WOODS SCHOOL DISTRICT,BAUDETTE,MN ,5,No,Yes,No,No
2700088,LAKEVIEW SCHOOL DISTRICT,COTTONWOOD,MN ,5,No,Yes,No,No
2717880,LANCASTER PUBLIC SCHOOL DISTRICT,LANCASTER,MN ,5,No,Yes,No,No
2717910,LANESBORO PUBLIC SCHOOL DISTRICT,LANESBORO,MN ,5,No,Yes,No,No
2717940,Laporte Public School District,LAPORTE,MN ,5,No,Yes,No,No
2718060,LEROY-OSTRANDER PUBLIC SCHOOLS,LEROY,MN ,5,No,Yes,No,No
2718270,LITTLEFORK-BIG FALLS SCHOOL DIST.,LITTLEFORK,MN ,5,No,Yes,No,No
2718540,Mabel-Canton Public School District,MABEL,MN ,5,Yes,Yes,No,No
2718660,MAHNOMEN PUBLIC SCHOOL DISTRICT,MAHNOMEN,MN ,5,Yes,Yes,Yes,No
2723550,MARSHALL COUNTY CENTRAL SCHOOLS,NEWFOLDEN,MN ,5,No,Yes,No,No
2718960,MARTIN COUNTY WEST SCHOOL DISTRICT,SHERBURN,MN ,5,No,Yes,No,No
2719170,MCGREGOR PUBLIC SCHOOL DISTRICT,MCGREGOR,MN ,5,No,Yes,Yes,No
2720580,MENAHGA PUBLIC SCHOOL DISTRICT,MENAHGA,MN ,5,No,Yes,No,No
2791450,MESABI EAST SCHOOL DISTRICT,AURORA,MN ,5,No,Yes,No,No
2721270,MINNEOTA PUBLIC SCHOOL DISTRICT,MINNEOTA,MN ,5,No,Yes,No,No
2700019,MINNEWASKA SCHOOL DISTRICT,GLENWOOD,MN ,5,No,Yes,No,No
2700090,MURRAY COUNTY CENTRAL SCHOOL DIST.,SLAYTON,MN ,5,No,Yes,No,No
2700275,NAYTAHWAUSH COMMUNITY SCHOOL,NAYTAHWAUSH,MN ,5,Not in SIAPE,Yes,Yes,No
2733720,NETT LAKE PUBLIC SCHOOL DISTRICT,ORR,MN ,5,Yes,Yes,Yes,No
2700101,NORMAN COUNTY EAST SCHOOL DISTRICT,TWIN VALLEY,MN ,5,No,Yes,No,No
2700256,NORTHERN LIGHTS COMMUNITY SCHOOL,WARBA,MN ,5,Not in SIAPE,Yes,No,No
2730870,NORTHLAND COMMUNITY SCHOOLS,REMER,MN ,5,Yes,Yes,Yes,No
2700089,NRHEG SCHOOL DISTRICT,NEW RICHLAND,MN ,5,No,Yes,No,No
2700039,NW REGION INTERDISTRICT COUNCIL,NEWFOLDEN,MN ,5,Not in SIAPE,Yes,No,No
2725050,ONAMIA PUBLIC SCHOOL DISTRICT,ONAMIA,MN ,5,Yes,Yes,Yes,No
2700321,OSHKI OGIMAAG CHARTER SCHOOL,GRAND PORTAGE,MN ,5,Not in SIAPE,Yes,Yes,No
2728110,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,PARKERS PRAIRIE,MN ,5,No,Yes,No,No
2728170,Pelican Rapids Public Schools,PELICAN RAPIDS,MN ,5,No,Yes,No,No
2728200,PEQUOT LAKES PUBLIC SCHOOLS,PEQUOT LAKES,MN ,5,No,Yes,No,No
2728960,PINE POINT PUBLIC SCHOOL DISTRICT,PONSFORD,MN ,5,Yes,Yes,Yes,No
2728970,PINE RIVER-BACKUS SCHOOL DISTRICT,PINE RIVER,MN ,5,No,Yes,No,No
2700038,PINE TO PRAIRIE COOPERATIVE CTR.,RED LAKE FALLS,MN ,5,Not in SIAPE,Yes,No,No
2716830,PRINSBURG PUBLIC SCHOOL DISTRICT,PRINSBURG,MN ,5,No,Yes,No,No
2700385,RED LAKE COUNTY CENTRAL PUBLIC SCH,OKLEE,MN ,5,No,Yes,No,No
2730450,RED LAKE FALLS PUBLIC SCHOOL DIST.,RED LAKE FALLS,MN ,5,No,Yes,No,No
2730510,RED LAKE PUBLIC SCHOOL DISTRICT,RED LAKE,MN ,5,Yes,Yes,Yes,No
2700132,RED ROCK CENTRAL SCHOOL DISTRICT,LAMBERTON,MN ,5,No,Yes,No,No
2700182,REDWOOD AREA SCHOOL DISTRICT,REDWOOD FALLS,MN ,5,No,No,Yes,No
2700163,Renville County West Schools,RENVILLE,MN ,5,No,Yes,No,No
2732460,ROTHSAY PUBLIC SCHOOL DISTRICT,ROTHSAY,MN ,5,No,Yes,No,No
2700294,RTR PUBLIC SCHOOLS,TYLER,MN ,5,No,Yes,No,No
2732970,SEBEKA PUBLIC SCHOOL DISTRICT,SEBEKA,MN ,5,No,Yes,No,No
2732700,SOUTH KOOCHICHING SCHOOL DISTRICT,NORTHOME,MN ,5,No,Yes,Yes,No
2700417,SouthWest Educational Cooperative (,TYLER,MN ,5,Not in SIAPE,Yes,No,No
2733390,SPRINGFIELD PUBLIC SCHOOL DISTRICT,SPRINGFIELD,MN ,5,No,Yes,No,No
2700008,ST. LOUIS COUNTY SCHOOL DISTRICT,VIRGINIA,MN ,5,No,No,Yes,No
2733840,ST. PAUL PUBLIC SCHOOL DISTRICT,SAINT PAUL,MN ,5,Yes,No,No,No
2700127,STEPHEN-ARGYLE CENTRAL SCHOOLS,STEPHEN,MN ,5,No,Yes,No,No
2700326,TRACY AREA PUBLIC SCHOOL DISTRICT,TRACY,MN ,5,No,Yes,No,No
2791446,TRI-COUNTY SCHOOL DISTRICT,KARLSTAD,MN ,5,No,Yes,No,No
2700005,United South Central Schools,WELLS,MN ,5,No,Yes,No,No
2700479,Up North Learning Center,WALKER,MN ,5,Not in SIAPE,Yes,No,No
2700372,Vermilion Country School,TOWER,MN ,5,Not in SIAPE,Yes,No,No
2741060,Wabasha-Kellogg School District,WABASHA,MN ,5,No,Yes,No,No
2741430,WABASSO PUBLIC SCHOOL DISTRICT,WABASSO,MN ,5,No,Yes,No,No
2702910,WALKER-HACKENSACK-AKELEY SCHL. DIST,WALKER,MN ,5,No,Yes,Yes,No
2741850,WARROAD PUBLIC SCHOOL DISTRICT,WARROAD,MN ,5,No,Yes,No,No
2742120,Waubun-Ogema-White Earth Schools,WAUBUN,MN ,5,Yes,Yes,Yes,No
2700104,WEST CENTRAL AREA,BARRETT,MN ,5,No,Yes,No,No
2700183,WESTBROOK-WALNUT GROVE SCHOOLS,WESTBROOK,MN ,5,No,Yes,No,No
2742330,WHEATON AREA PUBLIC SCHOOL DISTRICT,WHEATON,MN ,5,No,Yes,No,No
2791449,WIN-E-MAC SCHOOL DISTRICT,ERSKINE,MN ,5,No,Yes,No,No
2700099,YELLOW MEDICINE EAST,GRANITE FALLS,MN ,5,No,No,Yes,No
3906190,Adams County Ohio Valley Local,West Union,OH ,5,Yes,No,No,No
3904348,Akron City,Akron,OH ,5,Yes,No,No,No
3904349,Alliance City,Alliance,OH ,5,Yes,No,No,No
3904351,Ashtabula Area City,Ashtabula,OH ,5,Yes,No,No,No
3904352,Athens City,Chauncey,OH ,5,Yes,No,No,No
3904353,Barberton City,Barberton,OH ,5,Yes,No,No,No
3910017,Bedford City,Bedford,OH ,5,Yes,No,No,No
3904357,Bellaire Local,Bellaire,OH ,5,Yes,No,No,No
3904361,Belpre City,Belpre,OH ,5,Yes,No,No,No
3904523,Bridgeport Exempted Village,Bridgeport,OH ,5,Yes,No,No,No
3905012,Brookfield Local,Brookfield,OH ,5,Yes,No,No,No
3904617,Brown Local,Malvern,OH ,5,Yes,No,No,No
3904778,Buckeye Local,Dillonvale,OH ,5,Yes,No,No,No
3904368,Bucyrus City,Bucyrus,OH ,5,Yes,No,No,No
3904369,Cambridge City,Cambridge,OH ,5,Yes,No,No,No
3904370,Campbell City,Campbell,OH ,5,Yes,No,No,No
3904371,Canton City,Canton,OH ,5,Yes,No,No,No
3904374,Chillicothe City,Chillicothe,OH ,5,Yes,No,No,No
3904375,Cincinnati Public Schools,Cincinnati,OH ,5,Yes,No,No,No
3904376,Circleville City,Circleville,OH ,5,Yes,No,No,No
3910026,Clay Local,Portsmouth,OH ,5,Yes,No,No,No
3904377,Claymont City,Dennison,OH ,5,Yes,No,No,No
3904813,Clearview Local,Lorain,OH ,5,Yes,No,No,No
3904378,Cleveland Municipal,Cleveland,OH ,5,Yes,No,No,No
3904380,Columbus City School District,Columbus,OH ,5,Yes,No,No,No
3904381,Conneaut Area City,Conneaut,OH ,5,Yes,No,No,No
3904382,Coshocton City,Coshocton,OH ,5,Yes,No,No,No
3910008,Crestline Exempted Village,Crestline,OH ,5,Yes,No,No,No
3904535,Crooksville Exempted Village,Crooksville,OH ,5,Yes,No,No,No
3904783,Danville Local,Danville,OH ,5,Yes,No,No,No
3904384,Dayton City,Dayton,OH ,5,Yes,No,No,No
3904390,East Cleveland City School District,East Cleveland,OH ,5,Yes,No,No,No
3904391,East Liverpool City,East Liverpool,OH ,5,Yes,No,No,No
3904912,Eastern Local School District,Beaver,OH ,5,Yes,No,No,No
3904394,Elyria City Schools,Elyria,OH ,5,Yes,No,No,No
3904395,Euclid City,Euclid,OH ,5,Yes,No,No,No
3904396,Fairborn City,Fairborn,OH ,5,Yes,No,No,No
3904591,Federal Hocking Local,Stewart,OH ,5,Yes,No,No,No
3904399,Fostoria City,Fostoria,OH ,5,Yes,No,No,No
3904401,Fremont City,Fremont,OH ,5,Yes,No,No,No
3906568,Gallia County Local,Patriot,OH ,5,Yes,No,No,No
3904403,Gallipolis City,Gallipolis,OH ,5,Yes,No,No,No
3904404,Garfield Heights City Schools,Garfield Heights,OH ,5,Yes,No,No,No
3904537,Georgetown Exempted Village,Georgetown,OH ,5,Yes,No,No,No
3904406,Girard City School District,Girard,OH ,5,Yes,No,No,No
3904961,Green Local,Franklin Furnace,OH ,5,Yes,No,No,No
3904540,Greenfield Exempted Village,Greenfield,OH ,5,Yes,No,No,No
3904950,Huntington Local,Chillicothe,OH ,5,Yes,No,No,No
3904414,Ironton City School District,Ironton,OH ,5,Yes,No,No,No
3904415,Jackson City,Jackson,OH ,5,Yes,No,No,No
3904868,Jefferson Township Local,Dayton,OH ,5,Yes,No,No,No
3904416,Kent City,Kent,OH ,5,Yes,No,No,No
3910025,Kenton City,Kenton,OH ,5,Yes,No,No,No
3905024,LaBrae Local,Leavittsburg,OH ,5,Yes,No,No,No
3910007,Leetonia Exempted Village School District,Leetonia,OH ,5,Yes,No,No,No
3904422,Lima City,Lima,OH ,5,Yes,No,No,No
3904545,Lisbon Exempted Village,Lisbon,OH ,5,Yes,No,No,No
3904423,Lockland Local,Cincinnati,OH ,5,Yes,No,No,No
3904424,Logan-Hocking Local,Logan,OH ,5,Yes,No,No,No
3904426,Lorain City,Lorain,OH ,5,Yes,No,No,No
3900537,Manchester Local,Manchester,OH ,5,Yes,No,No,No
3904429,Mansfield City,Mansfield,OH ,5,Yes,No,No,No
3904430,Maple Heights City,Maple Heights,OH ,5,Yes,No,No,No
3910019,Marietta City,Marietta,OH ,5,Yes,No,No,No
3904433,Marion City,Marion,OH ,5,Yes,No,No,No
